,id,scholar_id,title,abstract,bib_id,journal,number,pages,pub_type,pub_year,publisher,venue,volume,num_citations,gsrank,citedby_url,eprint_url,pub_url,url_add_sclib,url_related_articles,url_scholarbib,search_term,depth,fetched_citations
865,866,hzslf5Fp5gcJ,An evaluation of a natural language processing tool for identifying and encoding allergy information in emergency department clinical notes,"With the persistence of free-text entry, efficient NLP tools and/or machine learning methods  are needed to bridge the gap between free-text and standard terminologies. Pick lists can",goss2014evaluation,,,580,inproceedings,2014.0,,AMIA Annual …,2014.0,35,405,"/scholar?cites=569258476533267335&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4419999/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4419999/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D400%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=hzslf5Fp5gcJ&ei=kEx9Y5ThJIuEmgG1z4vQAw&json=","/scholar?q=related:hzslf5Fp5gcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:hzslf5Fp5gcJ:scholar.google.com/&output=cite&scirp=404&hl=en,"""emergency department"" machine learning",0,0
866,867,ux7-xd0FH6MJ,Predictors of nonresponse to dupilumab in patients with atopic dermatitis: a machine learning analysis,", AD-related hospital visit, AD-related emergency department visit, incident skin infection)  were predicted from available demographic and clinical variables using machine learning.",wu2022predictors,"Annals of Allergy, Asthma \& Immunology",3,354--359,article,2022.0,Elsevier,Annals of Allergy …,129.0,2,406,"/scholar?cites=11754120002527960763&as_sdt=5,33&sciodt=1,33&hl=en",https://www.annallergy.org/article/S1081-1206(22)00493-8/pdf,https://www.sciencedirect.com/science/article/pii/S1081120622004938,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D400%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=ux7-xd0FH6MJ&ei=kEx9Y5ThJIuEmgG1z4vQAw&json=","/scholar?q=related:ux7-xd0FH6MJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:ux7-xd0FH6MJ:scholar.google.com/&output=cite&scirp=405&hl=en,"""emergency department"" machine learning",0,0
867,868,gVTTbzBJXAgJ,Data-adaptive estimation for double-robust methods in population-based cancer epidemiology: risk differences for lung cancer mortality by emergency presentation,"after admittance to an emergency department) was 16%  (TMLE) method using machine  learning algorithms to minimize the  it is combined with machine learning algorithms (15, 21, 22).",luque2018data,American journal of epidemiology,4,871--878,article,2018.0,Oxford University Press,American journal of …,187.0,14,407,"/scholar?cites=602436922544182401&as_sdt=5,33&sciodt=1,33&hl=en",https://academic.oup.com/aje/article/187/4/871/4110407,https://academic.oup.com/aje/article-abstract/187/4/871/4110407,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D400%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=gVTTbzBJXAgJ&ei=kEx9Y5ThJIuEmgG1z4vQAw&json=","/scholar?q=related:gVTTbzBJXAgJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:gVTTbzBJXAgJ:scholar.google.com/&output=cite&scirp=406&hl=en,"""emergency department"" machine learning",0,0
869,870,DQi0XaUK_pIJ,Novel pediatric-automated respiratory score using physiologic data and machine learning in asthma,"Supervised learning is a subfield of machine learning based  We hypothesized that  application of machine learning  in the PICU, wards and emergency department to aid in clinical",messinger2019novel,Pediatric pulmonology,8,1149--1155,article,2019.0,Wiley Online Library,Pediatric …,54.0,18,409,"/scholar?cites=10591915078979946509&as_sdt=5,33&sciodt=1,33&hl=en",https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/ppul.24342,https://onlinelibrary.wiley.com/doi/abs/10.1002/ppul.24342,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D400%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=DQi0XaUK_pIJ&ei=kEx9Y5ThJIuEmgG1z4vQAw&json=","/scholar?q=related:DQi0XaUK_pIJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:DQi0XaUK_pIJ:scholar.google.com/&output=cite&scirp=408&hl=en,"""emergency department"" machine learning",0,0
870,871,Rf8Vbd62Vf4J,Which chart elements accurately identify emergency department visits for suicidal ideation or behavior?,"These results, combined with a careful study of false positive and false negative cases, may  be beneficial for fine-tuning NLP algorithms or other machine learning processes directed at",arias2019chart,Archives of suicide research,,,article,2019.0,Taylor \& Francis,Archives of suicide …,,7,411,"/scholar?cites=18326755325083254597&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6320303/,https://www.tandfonline.com/doi/shareview/10.1080/13811118.2018.1472691,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=Rf8Vbd62Vf4J&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:Rf8Vbd62Vf4J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:Rf8Vbd62Vf4J:scholar.google.com/&output=cite&scirp=410&hl=en,"""emergency department"" machine learning",0,0
871,872,VSgIwqxnEXgJ,Machine intelligence for early targeted precision management and response to outbreaks of respiratory infections.,OBJECTIVES:To evaluate the utility of machine learning (ML) for the management of  to  be at highest risk had significantly increased rates of emergency department visits (13-fold) and,zhan2020machine,The American Journal of Managed Care,10,445--448,article,2020.0,,The American Journal …,26.0,3,412,"/scholar?cites=8651810350842783829&as_sdt=5,33&sciodt=1,33&hl=en",,https://europepmc.org/article/med/33094940,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=VSgIwqxnEXgJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:VSgIwqxnEXgJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:VSgIwqxnEXgJ:scholar.google.com/&output=cite&scirp=411&hl=en,"""emergency department"" machine learning",0,0
872,873,ax_fCNcFd4cJ,61. Using Machine Learning for Prediction of Poor Clinical Outcomes in Adult Patients Hospitalized with COVID-19,"A total of 16 variables, selected according to their availability in the Emergency Department,  were fit into the models. For the survival model, the combination of age >57 years, the",rodriguez202061,,Supplement\_1,S162--S163,inproceedings,2020.0,,Open Forum …,7.0,1,413,"/scholar?cites=9761277138473787243&as_sdt=5,33&sciodt=1,33&hl=en",https://academic.oup.com/ofid/article-pdf/7/Supplement_1/S162/35344257/ofaa439.371.pdf,https://academic.oup.com/ofid/article-abstract/7/Supplement_1/S162/6058540,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=ax_fCNcFd4cJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:ax_fCNcFd4cJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:ax_fCNcFd4cJ:scholar.google.com/&output=cite&scirp=412&hl=en,"""emergency department"" machine learning",0,0
873,874,9pbX4hiacRcJ,Number of weeks rotating in the emergency department has a greater effect on ultrasound milestone competency than a dedicated ultrasound rotation,"interpret US images in an emergency department (ED).  machines and 1 machine dedicated  solely to learners. At any point during the day, medical student learners, resident learners",smalley2017number,Journal of Ultrasound in Medicine,2,335--343,article,2017.0,Wiley Online Library,… of Ultrasound in …,36.0,8,414,"/scholar?cites=1689300766916318966&as_sdt=5,33&sciodt=1,33&hl=en",https://onlinelibrary.wiley.com/doi/pdf/10.7863/ultra.15.12044,https://onlinelibrary.wiley.com/doi/abs/10.7863/ultra.15.12044,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=9pbX4hiacRcJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:9pbX4hiacRcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:9pbX4hiacRcJ:scholar.google.com/&output=cite&scirp=413&hl=en,"""emergency department"" machine learning",0,0
875,876,vya0PffpovYJ,Machine learning model predicts short-term mortality among prehospital patients: A prospective development study from Finland,"in the emergency department might improve its performance.9, 10 In addition, modern machine  learning  RF is a modern machine learning method based on multiple randomly derived",tamminen2021machine,Resuscitation plus,,100089,article,2021.0,Elsevier,Resuscitation plus,5.0,1,417,"/scholar?cites=17772024327658809023&as_sdt=5,33&sciodt=1,33&hl=en",https://www.sciencedirect.com/science/article/pii/S266652042100014X,https://www.sciencedirect.com/science/article/pii/S266652042100014X,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=vya0PffpovYJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:vya0PffpovYJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:vya0PffpovYJ:scholar.google.com/&output=cite&scirp=416&hl=en,"""emergency department"" machine learning",0,0
876,877,n_O9ehxo_ikJ,139 Predicting Influenza Infection by Clinical Feature-Based Machine Learning Algorithms,Study Objectives: To prospectively describe the diagnoses and treatment of older  emergency department (ED) patients presenting with dyspnea and to determine the patient,hung2018139,Annals of Emergency Medicine,4,S58,article,2018.0,Elsevier,Annals of Emergency Medicine,72.0,1,418,"/scholar?cites=3025970471167194015&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.annemergmed.com/article/S0196-0644(18)30880-1/abstract,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=n_O9ehxo_ikJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:n_O9ehxo_ikJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:n_O9ehxo_ikJ:scholar.google.com/&output=cite&scirp=417&hl=en,"""emergency department"" machine learning",0,0
877,878,zsds2TKrtnsJ,Machine learning to predict the likelihood of acute myocardial infarction,the emergency department with suspected myocardial infarction. Training and testing are the  nomenclature of machine learning  Diagnostics using a machine learning technique called,than2019machine,Circulation,11,899--909,article,2019.0,Am Heart Assoc,Circulation,140.0,96,419,"/scholar?cites=8914500747310974926&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ahajournals.org/doi/full/10.1161/CIRCULATIONAHA.119.041980,https://www.ahajournals.org/doi/abs/10.1161/CIRCULATIONAHA.119.041980,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=zsds2TKrtnsJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:zsds2TKrtnsJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:zsds2TKrtnsJ:scholar.google.com/&output=cite&scirp=418&hl=en,"""emergency department"" machine learning",0,0
878,879,YvRZN59APOwJ,"P030: Multisource feedback for emergency medicine residents: different, relevant and useful information","Methods: In the emergency department of a tertiary-care university hospital,  Machine learning  has been  neural network as a machine learning algorithm in learning from historical data",castonguay2017p030,Canadian Journal of Emergency Medicine,S1,S88--S88,article,2017.0,Cambridge University Press,Canadian Journal of …,19.0,3,420,"/scholar?cites=17022551744126252130&as_sdt=5,33&sciodt=1,33&hl=en",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D7CC463B897C28BE44C2C0F03F19170C/S1481803517002329a.pdf/p030_multisource_feedback_for_emergency_medicine_residents_different_relevant_and_useful_information.pdf,https://www.cambridge.org/core/journals/canadian-journal-of-emergency-medicine/article/p030-multisource-feedback-for-emergency-medicine-residents-different-relevant-and-useful-information/D7CC463B897C28BE44C2C0F03F19170C,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D410%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=YvRZN59APOwJ&ei=H099Y8-jJr2Uy9YP6dyfoAs&json=","/scholar?q=related:YvRZN59APOwJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:YvRZN59APOwJ:scholar.google.com/&output=cite&scirp=419&hl=en,"""emergency department"" machine learning",0,0
879,880,iT9xIhi8TjIJ,Predicting Admissions From a Paediatric Emergency Department--Protocol for Developing and Validating a Low-Dimensional Machine Learning Prediction Model,The aim of this research is to develop and validate a low-dimensional machine learning   from 5 different sampling strategies and 3 machine learning algorithms. These models will be,leonard2021predicting,Frontiers in big Data,,643558,article,2021.0,Frontiers Media SA,Frontiers in big Data,4.0,1,93,"/scholar?cites=3625041561922912137&as_sdt=5,33&sciodt=1,33&hl=en",https://www.frontiersin.org/articles/10.3389/fdata.2021.643558/full,https://www.frontiersin.org/articles/10.3389/fdata.2021.643558/full,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D90%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=iT9xIhi8TjIJ&ei=Spd9Y-L2NKqSy9YPjoq_gAU&json=","/scholar?q=related:iT9xIhi8TjIJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:iT9xIhi8TjIJ:scholar.google.com/&output=cite&scirp=92&hl=en,"""emergency department"" machine learning",0,0
880,881,guiFddArnu8J,Using machine learning techniques to predict hospital admission at the emergency department,This study examines the performance of eight machine learning models based on data of the  Biochemistry and Hematology Departments from ED patients. Blood samples were obtained for,feretzakis2022using,The Journal of Critical Care Medicine,2,107--116,article,2022.0,,The Journal of Critical …,8.0,0,99,,https://sciendo.com/it/article/10.2478/jccm-2022-0003,https://sciendo.com/it/article/10.2478/jccm-2022-0003,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D90%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=guiFddArnu8J&ei=Spd9Y-L2NKqSy9YPjoq_gAU&json=","/scholar?q=related:guiFddArnu8J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:guiFddArnu8J:scholar.google.com/&output=cite&scirp=98&hl=en,"""emergency department"" machine learning",0,0
881,882,nEky8rtLhXsJ,Impact of de-identification on clinical text classification using traditional and deep learning classifiers,"for information extraction and machine learning tasks. In the context of a deep learning  experiment to detect altered mental status in emergency department provider notes, we tested",obeid2019impact,Studies in health technology and informatics,,283,article,2019.0,NIH Public Access,Studies in health …,264.0,12,41,"/scholar?cites=8900603509162002844&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6779034/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6779034/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D40%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=nEky8rtLhXsJ&ei=vpd9Y737NYuEmgG1z4vQAw&json=","/scholar?q=related:nEky8rtLhXsJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:nEky8rtLhXsJ:scholar.google.com/&output=cite&scirp=40&hl=en,"""emergency department"" deep learning",0,0
882,883,OIZwkZhwODsJ,Automated diagnosis and prognosis of COVID-19 pneumonia from initial ER chest X-rays using deep learning,presenting to the emergency department with suspected COVID-19 infection. The purpose  of this study is to evaluate a previously trained interpretable deep learning algorithm for the,chamberlin2022automated,BMC Infectious Diseases,1,1--13,article,2022.0,BioMed Central,BMC Infectious …,22.0,1,48,"/scholar?cites=4267284447510955576&as_sdt=5,33&sciodt=1,33&hl=en",https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07617-7,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07617-7,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D40%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=OIZwkZhwODsJ&ei=vpd9Y737NYuEmgG1z4vQAw&json=",,/scholar?hl=en&q=info:OIZwkZhwODsJ:scholar.google.com/&output=cite&scirp=47&hl=en,"""emergency department"" deep learning",0,0
883,884,u1z3u8qsXSYJ,Variable generalization performance of a deep learning model to detect pneumonia in chest radiographs: a cross-sectional study,"We identified a subset of 31,076 MSH portable radiographs that documented the department  of acquisition, with 28,841 from inpatient wards and 2,235 from the emergency department.",zech2018variable,PLoS medicine,11,e1002683,article,2018.0,"Public Library of Science San Francisco, CA USA",PLoS …,15.0,792,53,"/scholar?cites=2764555733012274363&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002683,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1002683,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D50%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=u1z3u8qsXSYJ&ei=5Zd9Y5KlJ4W7ywTIwry4Bg&json=","/scholar?q=related:u1z3u8qsXSYJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:u1z3u8qsXSYJ:scholar.google.com/&output=cite&scirp=52&hl=en,"""emergency department"" deep learning",0,0
884,885,D38FVl_vqcgJ,A 90-second magnetocardiogram using a novel analysis system to assess for coronary artery stenosis in emergency department observation unit chest pain patients,"computer algorithms, machine learning may improve accuracy [29]. In this pilot study, MCG  scans were compared to ST or CA using a deep learning computer algorithm which was",pena202090,IJC Heart \& Vasculature,,100466,article,2020.0,Elsevier,IJC Heart & …,26.0,11,66,"/scholar?cites=14459351271393820431&as_sdt=5,33&sciodt=1,33&hl=en",https://www.sciencedirect.com/science/article/pii/S235290671930168X,https://www.sciencedirect.com/science/article/pii/S235290671930168X,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D60%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=D38FVl_vqcgJ&ei=-pd9Y7uzKIz5yATA7rmYCQ&json=","/scholar?q=related:D38FVl_vqcgJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:D38FVl_vqcgJ:scholar.google.com/&output=cite&scirp=65&hl=en,"""emergency department"" deep learning",0,0
885,886,9kQ6bUvYk-kJ,A Deep Learning Approach for Classifying Patient Attendance Disposal from Emergency Departments,this paper is to employ the popular deep learning approach with application on the data   emergency department attendances between 2008 and 2013 at a type 1 emergency department,liu2019deep,,,278--283,inproceedings,2019.0,,2019 IEEE 15th International …,,1,88,"/scholar?cites=16831034050880357622&as_sdt=5,33&sciodt=1,33&hl=en",,https://ieeexplore.ieee.org/abstract/document/8899730/,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D80%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=9kQ6bUvYk-kJ&ei=FJh9Y8DDO470mgG3m7KgDQ&json=","/scholar?q=related:9kQ6bUvYk-kJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:9kQ6bUvYk-kJ:scholar.google.com/&output=cite&scirp=87&hl=en,"""emergency department"" deep learning",0,0
886,887,T8HEwSScvBQJ,Prediction of hospitalization using artificial intelligence for urgent patients in the emergency department,"Timely assessment to accurately prioritize patients is crucial for emergency department (ED)  management. Urgent (ie, level-3, on a 5-level emergency severity index system) patients",lee2021prediction,Scientific reports,1,1--8,article,2021.0,Nature Publishing Group,Scientific reports,11.0,3,93,"/scholar?cites=1494240858063814991&as_sdt=5,33&sciodt=1,33&hl=en",https://www.nature.com/articles/s41598-021-98961-2,https://www.nature.com/articles/s41598-021-98961-2,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D90%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=T8HEwSScvBQJ&ei=NZh9Y6CEB470mgG3m7KgDQ&json=","/scholar?q=related:T8HEwSScvBQJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:T8HEwSScvBQJ:scholar.google.com/&output=cite&scirp=92&hl=en,"""emergency department"" deep learning",0,0
887,888,xep9alW7laoJ,Development and Validation of a Deep Learning Strategy for Automated View Classification of Pediatric Focused Assessment With Sonography for Trauma,"routine emergency department care at  emergency department with approximately 45,000  visits annually, and BCHSF is a tertiary referral center and pediatric emergency department",kornblith2022development,Journal of Ultrasound in Medicine,8,1915--1924,article,2022.0,Wiley Online Library,… of Ultrasound in …,41.0,1,95,"/scholar?cites=12291936733510888133&as_sdt=5,33&sciodt=1,33&hl=en",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9072593/,https://onlinelibrary.wiley.com/doi/abs/10.1002/jum.15868,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D90%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=xep9alW7laoJ&ei=NZh9Y6CEB470mgG3m7KgDQ&json=","/scholar?q=related:xep9alW7laoJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:xep9alW7laoJ:scholar.google.com/&output=cite&scirp=94&hl=en,"""emergency department"" deep learning",0,0
888,889,YrixwApmNFgJ,Deep neural heart rate variability analysis,based classification with deep learning. We introduce an end  chest pain patients of an  emergency department. We show that  1172 chest pain patients from an emergency department3.,madl2016deep,arXiv preprint arXiv:1612.09205,,,article,2016.0,,arXiv preprint arXiv:1612.09205,,6,96,"/scholar?cites=6355817170495191138&as_sdt=5,33&sciodt=1,33&hl=en",https://arxiv.org/pdf/1612.09205,https://arxiv.org/abs/1612.09205,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bdeep%2Blearning%26hl%3Den%26start%3D90%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=YrixwApmNFgJ&ei=NZh9Y6CEB470mgG3m7KgDQ&json=","/scholar?q=related:YrixwApmNFgJ:scholar.google.com/&scioq=%22emergency+department%22+deep+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:YrixwApmNFgJ:scholar.google.com/&output=cite&scirp=95&hl=en,"""emergency department"" deep learning",0,0
